Job_ID,Company,Job_name,Location,Applicants,involvement,Level,Employees,Link,Followers,Industry,skills,merged,Company_ID,Details_ID,clusters
J-10,Zycus,Campus - Marketing - IIM Ranchi,"Mumbai, Maharashtra, India",9,Full-time,Entry level,3000,https://www.linkedin.com/company/zycus/life/,387800,Software Development,"attention to detail,communication skills,market research,data analytics,scripting",Full-timeEntry level9,C-7,D-10,3
J-11,Citi,Ops Accounting Rep 5,"Chennai, Tamildu, India",1,Full-time,Entry level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"attention to detail,communication skills,data analytics,time management,scripting",Full-timeEntry level1,C-8,D-11,2
J-12,HSBC,Digital Analyst,"Pune, Maharashtra, India",17,Full-time,Internship,10001,https://www.linkedin.com/company/hsbc/life/,3151200,Financial Services,"attention to detail,communication skills,data analytics,scripting",Full-timeInternship17,C-9,D-12,2
J-13,Goldman Sachs,Software Engineering - Internal Audit,"Bengaluru, Karnataka, India",7,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/goldman-sachs/life/,3570127,Financial Services,"attention to detail,collaboration,communication skills,machine learning,data analytics,Java,Spring,Hibernate,scripting,sql",Full-timeMid-Senior level7,C-6,D-13,2
J-14,Goldman Sachs,Software Engineering - Internal Audit,"Bengaluru, Karnataka, India",5,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/goldman-sachs/life/,3570127,Financial Services,"attention to detail,collaboration,communication skills,machine learning,data analytics,Java,Spring,Hibernate,scripting,sql",Full-timeMid-Senior level5,C-6,D-14,2
J-15,Wipro,Process Associate,"Kolkata, West Bengal, India",40,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/wipro/life/,6462755,IT Services and IT Consulting,"attention to detail,scripting",Full-timeMid-Senior level40,C-10,D-15,1
J-16,MTG Learning Media Pvt. Ltd. (MTG Books),Call Quality Analyst,"Gurgaon, Haryana, India",40,Full-time,Mid-Senior level,350,https://www.linkedin.com/company/mtg-learning-media-pvt-ltd-mtg-books-/life/,9491,Book and Periodical Publishing,"attention to detail,communication skills,scripting",Full-timeMid-Senior level40,C-11,D-15,3
J-17,Citi,Ops Support Specialist 4,"Chennai, Tamildu, India",7,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"attention to detail,data analytics,scripting",Full-timeMid-Senior level7,C-8,D-13,2
J-18,Intertrust Group,Compliance Associate,"Bengaluru, Karnataka, India",17,Full-time,Entry level,3000,https://www.linkedin.com/company/intertrust-group/life/,121805,Financial Services,"attention to detail,data analytics,communication skills,ms office",Full-timeEntry level17,C-12,D-16,3
J-19,Lam Research,"Program Manager, Sr. I","Bengaluru, Karnataka, India",11,Full-time,Entry level,10001,https://www.linkedin.com/company/lam-research/life/,235506,Semiconductor Manufacturing,"attention to detail,communication skills,data analytics,time management",Full-timeEntry level11,C-13,D-4,3
J-20,Walmart Global Tech India,"ANALYST II, ACADEMY CONTENT - Instructional Designer","Bengaluru, Karnataka, India",31,Full-time,Mid-Senior level,3500,https://www.linkedin.com/company/walmartglobaltechindia/life/,836404,IT Services and IT Consulting,"attention to detail,business acumen,collaboration,communication skills,content creation,data analytics,ms office",Full-timeMid-Senior level31,C-14,D-17,3
J-21,Infoparks Kerala,Junior Asp.Net Developer,"Kochi, Kerala, India",9,Full-time,Entry level,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"attention to detail,collaboration,communication skills,data analytics,teamwork,Java,scripting",Full-timeEntry level9,C-1,D-10,3
J-22,Barclays,Analyst,"Chennai, Tamildu, India",10,Full-time,Associate,10001,https://www.linkedin.com/company/barclays-bank/life/,1312733,Financial Services,"attention to detail,communication skills,data analytics",Full-timeAssociate10,C-5,D-18,0
J-23,Citi,Loan Doc & Proc Analyst,"Chennai, Tamildu, India",2,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"attention to detail,diplomacy,project management,sem,data analytics,scripting",Full-timeMid-Senior level2,C-8,D-19,2
J-24,NNE,HR Data Analyst,"Bengaluru, Karnataka, India",17,Full-time,Mid-Senior level,3000,https://www.linkedin.com/company/nne/life/,42223,Civil Engineering,"attention to detail,communication skills,data management,data analytics,power bi,sql",Full-timeMid-Senior level17,C-15,D-20,3
J-25,Auraa Solutions,Data Entry Executive,"Hubli, Karnataka, India",7,Full-time,Executive,5001,https://www.linkedin.com/company/auraasolutions/life/,453,"Technology, Information and Internet","attention to detail,ms office",Full-timeExecutive7,C-16,D-21,3
J-26,Infosys BPM,Process Executive,"Jaipur, Rajasthan, India",4,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/infosys-bpm/life/,795838,IT Services and IT Consulting,attention to detail,Full-timeMid-Senior level4,C-17,D-22,3
J-27,Wells Fargo,Financel Analyst,"Bengaluru, Karnataka, India",3,Full-time,Associate,10001,https://www.linkedin.com/company/wellsfargo/life/,2044378,Financial Services,"attention to detail,collaboration,communication skills,data analytics,time management,power bi,tableau",Full-timeAssociate3,C-18,D-23,0
J-28,Citi,Citigold Relationship Manager,"Mumbai, Maharashtra, India",3,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"attention to detail,diplomacy,data analytics",Full-timeMid-Senior level3,C-8,D-24,2
J-29,EY,Executive Assistant- GDS- Senior Associate,"Bengaluru, Karnataka, India",13,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/ernstandyoung/life/,6993519,Professional Services,"attention to detail,communication skills,project management,data analytics,scripting",Full-timeMid-Senior level13,C-19,D-25,1
J-30,EY,Executive Assistant- GDS- Senior Associate,"Bengaluru, Karnataka, India",11,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/ernstandyoung/life/,6993519,Professional Services,"attention to detail,communication skills,project management,data analytics,scripting",Full-timeMid-Senior level11,C-19,D-26,1
J-31,Abhyaz,MIS Executive (Intern),"Chennai, Tamildu, India",1,Part-time,Internship,10001,https://www.linkedin.com/company/abhyazlearning/life/,3331,E-Learning Providers,"attention to detail,positive attitude,data analytics,time management",Part-timeInternship1,C-20,D-27,3
J-32,MondelÄ“z International,SE-TT- Gorakhpur,"Mumbai, Maharashtra, India",14,Full-time,Executive,10001,https://www.linkedin.com/company/mondelezinternational/life/,2248950,Food and Beverage Manufacturing,"attention to detail,scripting",Full-timeExecutive14,C-21,D-28,0
J-33,Goldman Sachs,Software Engineering - Internal Audit,"Hyderabad, Telangana, India",12,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/goldman-sachs/life/,3570127,Financial Services,"attention to detail,collaboration,communication skills,machine learning,data analytics,Java,Spring,Hibernate,scripting,sql",Full-timeMid-Senior level12,C-6,D-9,2
J-34,BYJU'S,Business Development Associate,"Lucknow, Uttar Pradesh, India",32,Full-time,Entry level,10001,https://www.linkedin.com/company/byjus/life/,1686546,E-Learning Providers,"attention to detail,communication skills,market research,data analytics",Full-timeEntry level32,C-22,D-29,0
J-35,KAS Services India Pvt Ltd,Engineer,"Bengaluru, Karnataka, India",11,Full-time,Entry level,350,https://www.linkedin.com/company/kas-services-india-pvt-ltd/life/,18204,Retail,"attention to detail,data analytics,Java,J2EE,Spring",Full-timeEntry level11,C-23,D-4,3
J-36,Abhyaz,System Admin (Intern),"Chennai, Tamildu, India",3,Part-time,Internship,10001,https://www.linkedin.com/company/abhyazlearning/life/,3331,E-Learning Providers,"attention to detail,positive attitude,data analytics,scripting,python,Java",Part-timeInternship3,C-20,D-30,3
J-37,Philips,Production Planner,"Pune, Maharashtra, India",50,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/philips/life/,2167232,Hospitals and Health Care,"attention to detail,collaboration,data analytics,scripting",Full-timeMid-Senior level50,C-24,D-31,0
J-38,ReleasePoint,Quality Assurance Specialist,"Hyderabad, Telangana, India",23,Full-time,Associate,750,https://www.linkedin.com/company/releasepointusa/life/,2126,Information Services,"attention to detail,communication skills,data analytics,scripting",Full-timeAssociate23,C-25,D-32,3
J-39,Zycus,Product Manager - IIM Ranchi,"Mumbai, Maharashtra, India",4,Full-time,Mid-Senior level,3000,https://www.linkedin.com/company/zycus/life/,387800,Software Development,"attention to detail,communication skills,market research,data analytics,scripting",Full-timeMid-Senior level4,C-7,D-22,3
J-40,Visa,Senior Automation Engineer,"Bengaluru East, Karnataka, India",16,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/visa/life/,1372595,IT Services and IT Consulting,"attention to detail,communication skills,data analytics,scripting,sql",Full-timeMid-Senior level16,C-26,D-33,0
J-41,Citi,C10 - Custody Client Onboarding officer,"Mumbai, Maharashtra, India",6,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"attention to detail,communication skills,project management,data analytics",Full-timeMid-Senior level6,C-8,D-34,2
J-42,MondelÄ“z International,BDE-Biscuits-Cochin,"Gurgaon, Haryana, India",32,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/mondelezinternational/life/,2248950,Food and Beverage Manufacturing,"attention to detail,scripting",Full-timeMid-Senior level32,C-21,D-35,0
J-43,Target,Data Sciences Intern V,"Bengaluru, Karnataka, India",73,Full-time,Internship,10001,https://www.linkedin.com/company/target/life/,1619531,Retail,"business acumen,sem,data analytics,scripting,python,sql",Full-timeInternship73,C-27,D-36,0
J-44,HP,Business Operations Analyst II,"Bengaluru, Karnataka, India",54,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/hp/life/,5147832,IT Services and IT Consulting,"business acumen,communication skills,data management,project management,data analytics",Full-timeMid-Senior level54,C-28,D-37,1
J-45,HP,Account Operation Manager,"Bengaluru, Karnataka, India",78,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/hp/life/,5147832,IT Services and IT Consulting,"business acumen,communication skills,project management,data analytics",Full-timeMid-Senior level78,C-28,D-38,1
J-46,JLL,Management Trainee,"Bengaluru, Karnataka, India",65,Full-time,Internship,10001,https://www.linkedin.com/company/jll/life/,1603730,Real Estate,"client relations,communication skills,sem,data analytics,teamwork,scripting,ms office",Full-timeInternship65,C-29,D-39,0
J-47,State Street,Client Analytics Specialist,"Bengaluru, Karnataka, India",1,Full-time,Internship,10001,https://www.linkedin.com/company/state-street/life/,458788,Financial Services,"client relations,communication skills,data analytics,power bi,seo,tableau",Full-timeInternship1,C-30,D-40,3
J-48,THIS IS! Digital Media Group,CMS Engineer - PHP / Typo3 (India | m/w/x | Bangalore / Remote),"Bengaluru, Karnataka, India",1,Full-time,Entry level,125,https://www.linkedin.com/company/thisisdmg/life/,3064,IT Services and IT Consulting,"client relations,data analytics,Java,scripting",Full-timeEntry level1,C-31,D-11,3
J-49,State Street,Financial Reporting - NPORT - Associate 2,"Bengaluru, Karnataka, India",7,Full-time,Entry level,10001,https://www.linkedin.com/company/state-street/life/,458788,Financial Services,"client relations,data analytics",Full-timeEntry level7,C-30,D-41,3
J-50,Abhyaz,Web Developer Intern,"Chennai, Tamildu, India",35,Part-time,Internship,10001,https://www.linkedin.com/company/abhyazlearning/life/,3331,E-Learning Providers,"coding languages,data analytics,Java,scripting",Part-timeInternship35,C-20,D-42,3
J-51,LTIMindtree,Senior Specialist - Software Engineering,"Pune, Maharashtra, India",4,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/ltimindtree/life/,91623,IT Services and IT Consulting,"coding languages,project management,data analytics,Java,Spring",Full-timeMid-Senior level4,C-32,D-22,3
J-52,Enterprise Bot,API Integration - Trainee,"Bengaluru, Karnataka, India",17,Full-time,Internship,125,https://www.linkedin.com/company/enterprise-bot/life/,18107,IT Services and IT Consulting,"collaboration,communication skills,data analytics,time management",Full-timeInternship17,C-33,D-12,3
J-53,Target,Sr Manager R&I,"Bengaluru, Karnataka, India",10,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/target/life/,1619531,Retail,"collaboration,communication skills,data analytics,web analytics,scripting",Full-timeMid-Senior level10,C-27,D-43,0
J-54,Novo Nordisk,Associate Analyst,"Bengaluru, Karnataka, India",32,Full-time,Entry level,10001,https://www.linkedin.com/company/novo-nordisk/life/,1357755,Pharmaceutical Manufacturing,"collaboration,data analytics,microsoft excel",Full-timeEntry level32,C-34,D-29,0
J-55,Danske Bank,Product Owner,"Bengaluru, Karnataka, India",41,Full-time,Entry level,10001,https://www.linkedin.com/company/danskebank/life/,159279,Financial Services,"collaboration,communication skills,project management,data analytics,teamwork,scripting",Full-timeEntry level41,C-35,D-44,3
J-56,Optum,"Quality Consultant - Hyderabad, TG","Hyderabad, Telangana, India",7,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/optum/life/,576519,Hospitals and Health Care,"collaboration,data analytics,Java,scripting,python",Full-timeMid-Senior level7,C-36,D-13,3
J-57,Novo Nordisk,Global Project Manager,"Bengaluru, Karnataka, India",28,Full-time,Associate,10001,https://www.linkedin.com/company/novo-nordisk/life/,1357755,Pharmaceutical Manufacturing,"collaboration,communication skills,market research,project management,sem,data analytics",Full-timeAssociate28,C-34,D-45,0
J-58,Barclays,UI Developer,"Pune, Maharashtra, India",30,Full-time,Associate,10001,https://www.linkedin.com/company/barclays-bank/life/,1312733,Financial Services,"collaboration,data analytics,Java,Spring,Hibernate,sql",Full-timeAssociate30,C-5,D-46,0
J-59,Booking Holdings (NASDAQ: BKNG),Software Engineer MDG Developer,"Bengaluru, Karnataka, India",7,Full-time,Entry level,10001,https://www.linkedin.com/company/bookingholdings/life/,22168,"Technology, Information and Internet","collaboration,data analytics",Full-timeEntry level7,C-37,D-41,3
J-60,Siemens Gamesa,Rotor Performance Engineer,"Bengaluru, Karnataka, India",2,Full-time,Entry level,10001,https://www.linkedin.com/company/siemensgamesa/life/,670067,Renewable Energy Semiconductor Manufacturing,"collaboration,communication skills,data analytics,machine learning,matlab,python",Full-timeEntry level2,C-38,D-47,3
J-61,Novartis India,Senior Material Implementation Expert,"Hyderabad, Telangana, India",2,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/novartis-india/life/,120007,Pharmaceutical Manufacturing,"collaboration,project management,data analytics,scripting",Full-timeMid-Senior level2,C-39,D-19,3
J-62,Innovapptive Inc,Trainee - RDF,"Hyderabad, Telangana, India",4,Full-time,Internship,350,https://www.linkedin.com/company/innovapptive-inc/life/,42233,Mobile Computing Software Products,"collaboration,communication skills,data analytics,scripting",Full-timeInternship4,C-40,D-48,3
J-63,ELT Corporate Private Limited,Executive Assistant,"Rohini, Delhi, India",7,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/eltcorporate/life/,1519,Legal Services,"collaboration,project management",Full-timeMid-Senior level7,C-41,D-13,3
J-64,Novo Nordisk,validation lead,"Bengaluru, Karnataka, India",8,Full-time,Executive,10001,https://www.linkedin.com/company/novo-nordisk/life/,1357755,Pharmaceutical Manufacturing,"collaboration,data analytics",Full-timeExecutive8,C-34,D-49,0
J-65,Yes Property,Executive Assistant,"Bengaluru North, Karnataka, India",1,Full-time,Mid-Senior level,125,https://www.linkedin.com/company/yes-property/life/,2420,Real Estate,"collaboration,project management",Full-timeMid-Senior level1,C-42,D-50,3
J-66,Infoparks Kerala,Product Owner,"Kochi, Kerala, India",1,Full-time,Director,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"collaboration,communication skills,data cleaning,data analytics,Java,Spring,scripting,power bi,seo,sql",Full-timeDirector1,C-1,D-51,3
J-67,Donaldson,Scientist Sensing Technology,"Gurugram, Haryana, India",1,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/donaldson/life/,194224,Industrial Machinery Manufacturing,"collaboration,communication skills,data analytics,Java,matlab,python",Full-timeMid-Senior level1,C-43,D-50,3
J-68,Novartis India,Global Category Manager Clinical R&D,"Hyderabad, Telangana, India",4,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/novartis-india/life/,120007,Pharmaceutical Manufacturing,"collaboration,project management,data analytics,scripting",Full-timeMid-Senior level4,C-39,D-22,3
J-69,Novo Nordisk,Associate Manager - Strategy,"Bengaluru, Karnataka, India",47,Full-time,Entry level,10001,https://www.linkedin.com/company/novo-nordisk/life/,1357755,Pharmaceutical Manufacturing,"collaboration,data analytics",Full-timeEntry level47,C-34,D-52,0
J-70,Barclays,Application Developer,"Chennai, Tamildu, India",13,Full-time,Associate,10001,https://www.linkedin.com/company/barclays-bank/life/,1312733,Financial Services,"collaboration,data analytics,Java,Spring,python,scripting",Full-timeAssociate13,C-5,D-53,0
J-71,GE Healthcare,Quality Assurance Engineer,"Bengaluru, Karnataka, India",92,Full-time,Entry level,10001,https://www.linkedin.com/company/gehealthcare/life/,1897527,Hospitals and Health Care,"collaboration,data analytics,scripting,business acumen,python,Java",Full-timeEntry level92,C-2,D-54,0
J-72,Novo Nordisk,Advanced Operations Analyst II-IAM,"Bengaluru, Karnataka, India",3,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/novo-nordisk/life/,1357755,Pharmaceutical Manufacturing,"collaboration,communication skills,data analytics,project management",Full-timeMid-Senior level3,C-34,D-24,0
J-73,Optum,"Senior Quality Engineer - Gurgaon, HR","Gurgaon, Haryana, India",7,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/optum/life/,576519,Hospitals and Health Care,"collaboration,data analytics,sql",Full-timeMid-Senior level7,C-36,D-13,3
J-74,JPMorgan Chase & Co.,Reconciliation Associate,"Bengaluru, Karnataka, India",74,Full-time,Entry level,10001,https://www.linkedin.com/company/jpmorganchase/life/,3547179,Financial Services,"communication skills,data analytics,scripting,attention to detail",Full-timeEntry level74,C-44,D-55,2
J-75,Razorpay,Incident Engineer,"Bengaluru, Karnataka, India",40,Full-time,Entry level,3000,https://www.linkedin.com/company/razorpay/life/,456707,Software Development,"communication skills,data analytics,data management,microsoft excel",Full-timeEntry level40,C-45,D-56,3
J-76,HP,College Intern,"Bengaluru, Karnataka, India",170,Full-time,Internship,10001,https://www.linkedin.com/company/hp/life/,5147832,IT Services and IT Consulting,communication skills,Full-timeInternship170,C-28,D-57,1
J-77,Textron India Private Limited,IT Analyst,"Bengaluru, Karnataka, India",30,Full-time,Mid-Senior level,350,https://www.linkedin.com/company/textron-india-private-limited/life/,1611,Aviation and Aerospace Component Manufacturing,"communication skills,data analytics,time management,scripting",Full-timeMid-Senior level30,C-46,D-58,3
J-78,Novartis India,Safety Writer - Aggregate Reports (AR),"Hyderabad, Telangana, India",44,Full-time,Associate,10001,https://www.linkedin.com/company/novartis-india/life/,120007,Pharmaceutical Manufacturing,"communication skills,project management,data analytics,scripting",Full-timeAssociate44,C-39,D-59,3
J-79,Danske Bank,Full-stack: Cloud specialist,"Bengaluru, Karnataka, India",1,Full-time,Internship,10001,https://www.linkedin.com/company/danskebank/life/,159279,Financial Services,"communication skills,Java,Spring,Hibernate,scripting,api design",Full-timeInternship1,C-35,D-40,3
J-80,Danske Bank,"IT Software Engineer, Mainframe","Bengaluru, Karnataka, India",14,Full-time,Entry level,10001,https://www.linkedin.com/company/danskebank/life/,159279,Financial Services,"communication skills,data analytics,scripting",Full-timeEntry level14,C-35,D-60,3
J-81,Danske Bank,"IT Software Engineer, Mainframe","Bengaluru, Karnataka, India",6,Full-time,Associate,10001,https://www.linkedin.com/company/danskebank/life/,159279,Financial Services,"communication skills,data analytics,scripting",Full-timeAssociate6,C-35,D-61,3
J-82,Volvo Group,Marketing Cloud Developer,"Bengaluru, Karnataka, India",15,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/volvo-group/life/,1475765,Motor Vehicle Manufacturing,"communication skills,data analytics,Java,scripting,sql",Full-timeMid-Senior level15,C-47,D-62,0
J-83,Infoparks Kerala,Academic Associate (Operations) - Females (preferring immediate Joiners),"Kanayannur, Kerala, India",13,Full-time,Entry level,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"communication skills,sem,data analytics,scripting",Full-timeEntry level13,C-1,D-63,3
J-84,Razorpay,Executive - Finance,"Bengaluru, Karnataka, India",58,Full-time,Mid-Senior level,3000,https://www.linkedin.com/company/razorpay/life/,456707,Software Development,communication skills,Full-timeMid-Senior level58,C-45,D-64,3
J-85,General Motors,Engineer â€“ Virtual Engineering- General Assembly Simulation,"Bengaluru, Karnataka, India",29,Full-time,Entry level,10001,https://www.linkedin.com/company/general-motors/life/,3032028,Motor Vehicle Manufacturing,"communication skills,sem,data analytics,Java,scripting,ms office,power bi,project management,python",Full-timeEntry level29,C-48,D-65,2
J-86,Barclays,QA Analyst,"Pune, Maharashtra, India",2,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/barclays-bank/life/,1312733,Financial Services,"communication skills,data analytics,python,sql",Full-timeMid-Senior level2,C-5,D-19,0
J-87,Citi,OFFICER IN CHARGE,"Mumbai, Maharashtra, India",2,Full-time,Entry level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"communication skills,scripting,operating systems",Full-timeEntry level2,C-8,D-47,2
J-88,"RealPage, Inc.",Process Associate,Greater Hyderabad Area,1,Full-time,Entry level,7500,https://www.linkedin.com/company/realpage/life/,190868,Software Development,"communication skills,data analytics,sem",Full-timeEntry level1,C-49,D-11,3
J-89,MTG Learning Media Pvt. Ltd. (MTG Books),Executive Assistant,"Gurgaon, Haryana, India",19,Full-time,Mid-Senior level,350,https://www.linkedin.com/company/mtg-learning-media-pvt-ltd-mtg-books-/life/,9491,Book and Periodical Publishing,"communication skills,data analytics,scripting",Full-timeMid-Senior level19,C-11,D-66,3
J-90,MTG Learning Media Pvt. Ltd. (MTG Books),Executive Assistant,"Delhi, Delhi, India",52,Full-time,Mid-Senior level,350,https://www.linkedin.com/company/mtg-learning-media-pvt-ltd-mtg-books-/life/,9491,Book and Periodical Publishing,"communication skills,data analytics,scripting",Full-timeMid-Senior level52,C-11,D-67,3
J-91,HSBC,"Risk and Analytics Manager, Securities Finance and Clearing Risk, India","Bengaluru, Karnataka, India",16,Full-time,Entry level,10001,https://www.linkedin.com/company/hsbc/life/,3151200,Financial Services,"communication skills,machine learning,data analytics,scripting,python,teamwork",Full-timeEntry level16,C-9,D-68,2
J-92,DBS Bank,Business Support Unit,"Delhi, Delhi, India",2,Full-time,Associate,10001,https://www.linkedin.com/company/dbs-bank/life/,790457,Banking,"communication skills,sem,data analytics,ms office",Full-timeAssociate2,C-50,D-69,3
J-93,Dhananjay V. Joshi & Associates,Accounting Assistant,"Bengaluru, Karnataka, India",31,Full-time,Entry level,10001,https://www.linkedin.com/company/dhananjay-v.-joshi-&-associates/life/,146,Consumer Services,communication skills,Full-timeEntry level31,C-51,D-70,3
J-94,Citi,Ops Support Assistant - C04,"Pune, Maharashtra, India",1,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/citi/life/,3923020,Financial Services,"communication skills,data analytics,scripting",Full-timeMid-Senior level1,C-8,D-50,2
J-95,HP,Data Engineer,"Bengaluru, Karnataka, India",117,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/hp/life/,5147832,IT Services and IT Consulting,"communication skills,data management,project management,data analytics,scripting,nosql,sql",Full-timeMid-Senior level117,C-28,D-71,1
J-96,Imaginators Try Going Beyond,"Domestic,International Bpo / Fresher / Graduate / Freshers / BPO","Gurgaon, Haryana, India",1,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/imaginators-try-going-beyond/life/,4225,Staffing and Recruiting,communication skills,Full-timeMid-Senior level1,C-52,D-50,3
J-97,Imaginators Try Going Beyond,"Domestic,International Bpo / Fresher / Graduate / Freshers / BPO","Delhi, Delhi, India",3,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/imaginators-try-going-beyond/life/,4225,Staffing and Recruiting,communication skills,Full-timeMid-Senior level3,C-52,D-24,3
J-98,Goldman Sachs,Internal Audit - Technology Audit - Core Engineering - Bengaluru,"Bengaluru, Karnataka, India",10,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/goldman-sachs/life/,3570127,Financial Services,"communication skills,operating systems,data analytics,teamwork,Java,scripting,python,sql",Full-timeMid-Senior level10,C-6,D-43,2
J-99,"RealPage, Inc.",Senior Process Associate,Greater Hyderabad Area,32,Full-time,Mid-Senior level,7500,https://www.linkedin.com/company/realpage/life/,190868,Software Development,"communication skills,data analytics,sem",Full-timeMid-Senior level32,C-49,D-35,3
J-100,EY,GCR UK- UKI London - Senior,"Bengaluru, Karnataka, India",2,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/ernstandyoung/life/,6993519,Professional Services,"communication skills,data analytics,teamwork,scripting",Full-timeMid-Senior level2,C-19,D-19,1
